id,name,artist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,romantic,0.5184174624829467,0.5451428110375989,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.17869154822610395,0.47579892473947694,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4
5bQ6oDLqvw8tywmnSmwEyL,Apna Bana Le,Sachin-Jigar,romantic,0.5388813096862208,0.5632967564950783,9,-7.399,1,0.0267,0.803,5.52e-06,0.063,0.41738092654876857,0.18214635576159144,audio_features,5bQ6oDLqvw8tywmnSmwEyL,spotify:track:5bQ6oDLqvw8tywmnSmwEyL,https://api.spotify.com/v1/tracks/5bQ6oDLqvw8tywmnSmwEyL,https://api.spotify.com/v1/audio-analysis/5bQ6oDLqvw8tywmnSmwEyL,261702,4
12TuIypC6Im9HYL2zNd4HD,Love Mashup 2024,Arijit Singh,romantic,0.4488403819918145,0.6248184605454252,10,-7.355,0,0.0383,0.421,4.09e-05,0.147,0.10382987957035912,0.1501507987319023,audio_features,12TuIypC6Im9HYL2zNd4HD,spotify:track:12TuIypC6Im9HYL2zNd4HD,https://api.spotify.com/v1/tracks/12TuIypC6Im9HYL2zNd4HD,https://api.spotify.com/v1/audio-analysis/12TuIypC6Im9HYL2zNd4HD,291107,4
42WGQxg2lPIFBt8ZRHQ4Q4,Romantic Mashup 2,Mithoon,romantic,0.432469304229195,0.7639987090527675,8,-5.118,0,0.0422,0.0933,2e-06,0.268,0.31214060974286645,0.22865098771241021,audio_features,42WGQxg2lPIFBt8ZRHQ4Q4,spotify:track:42WGQxg2lPIFBt8ZRHQ4Q4,https://api.spotify.com/v1/tracks/42WGQxg2lPIFBt8ZRHQ4Q4,https://api.spotify.com/v1/audio-analysis/42WGQxg2lPIFBt8ZRHQ4Q4,325172,4
1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,Sachin-Jigar,romantic,0.5388813096862208,0.5632967564950783,9,-7.399,1,0.0267,0.803,5.52e-06,0.063,0.41738092654876857,0.18214635576159144,audio_features,1hA697u7e1jX2XM8sWA6Uy,spotify:track:1hA697u7e1jX2XM8sWA6Uy,https://api.spotify.com/v1/tracks/1hA697u7e1jX2XM8sWA6Uy,https://api.spotify.com/v1/audio-analysis/1hA697u7e1jX2XM8sWA6Uy,261702,4
2DzEnsDbTLHwPuIMAB2z0P,Feelinga,Garry Sandhu,romantic,0.7080491132332878,0.5189204453767952,11,-8.755,0,0.0656,0.236,2.39e-05,0.31,0.36313334056634483,0.19816727474680473,audio_features,2DzEnsDbTLHwPuIMAB2z0P,spotify:track:2DzEnsDbTLHwPuIMAB2z0P,https://api.spotify.com/v1/tracks/2DzEnsDbTLHwPuIMAB2z0P,https://api.spotify.com/v1/audio-analysis/2DzEnsDbTLHwPuIMAB2z0P,188000,4
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,Eyedress,romantic,0.6371077762619373,0.4473132160722931,9,-9.299,0,0.0869,0.701,0.924,0.198,0.5280460019529132,0.8789367725214627,audio_features,7s5VQqrjBtrBgZL4pEa46S,spotify:track:7s5VQqrjBtrBgZL4pEa46S,https://api.spotify.com/v1/tracks/7s5VQqrjBtrBgZL4pEa46S,https://api.spotify.com/v1/audio-analysis/7s5VQqrjBtrBgZL4pEa46S,86739,4
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,romantic,0.32196452933151426,0.3958770372761014,11,-7.556,1,0.0366,0.736,0.0,0.11,0.27633720299446674,0.0,audio_features,2Fv2injs4qAm8mJBGaxVKU,spotify:track:2Fv2injs4qAm8mJBGaxVKU,https://api.spotify.com/v1/tracks/2Fv2injs4qAm8mJBGaxVKU,https://api.spotify.com/v1/audio-analysis/2Fv2injs4qAm8mJBGaxVKU,284780,4
62o3C7mPRsGv5671ekImkl,Romantic Mashup,Raj Barman,romantic,0.6425648021828103,0.6550750363078909,5,-5.63,0,0.03,0.452,0.0,0.396,0.5573396983834219,0.24441736152356863,audio_features,62o3C7mPRsGv5671ekImkl,spotify:track:62o3C7mPRsGv5671ekImkl,https://api.spotify.com/v1/tracks/62o3C7mPRsGv5671ekImkl,https://api.spotify.com/v1/audio-analysis/62o3C7mPRsGv5671ekImkl,401164,4
0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,Vishal Mishra,romantic,0.5675306957708048,0.7155881878328223,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.6072474774872518,0.42038521169673637,audio_features,0ojpEubhy4JNeVftmVuiN7,spotify:track:0ojpEubhy4JNeVftmVuiN7,https://api.spotify.com/v1/tracks/0ojpEubhy4JNeVftmVuiN7,https://api.spotify.com/v1/audio-analysis/0ojpEubhy4JNeVftmVuiN7,272533,4
6fW78cd0p3ZDUzoqvx2Xqe,Muskurane - Romantic,Jeet Gannguli,romantic,0.5129604365620735,0.578425044376311,11,-6.197,0,0.0264,0.628,0.0,0.132,0.1797764999457524,0.24391598466558162,audio_features,6fW78cd0p3ZDUzoqvx2Xqe,spotify:track:6fW78cd0p3ZDUzoqvx2Xqe,https://api.spotify.com/v1/tracks/6fW78cd0p3ZDUzoqvx2Xqe,https://api.spotify.com/v1/audio-analysis/6fW78cd0p3ZDUzoqvx2Xqe,334331,4
1smFN2CLqGROu0J0UyvDfL,Shayad,Pritam,romantic,0.39836289222373794,0.4684928191060191,8,-7.642,1,0.0341,0.784,0.0,0.152,0.29044157534989695,0.5052875974792315,audio_features,1smFN2CLqGROu0J0UyvDfL,spotify:track:1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/tracks/1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/audio-analysis/1smFN2CLqGROu0J0UyvDfL,247941,4
6q1QIBUfxyZJhygVIiG6c9,Wajah Tum Ho,Armaan Malik,romantic,0.5579809004092768,0.6863401645957722,5,-6.179,0,0.0257,0.342,1.53e-05,0.115,0.20581534121731582,0.25904213879654125,audio_features,6q1QIBUfxyZJhygVIiG6c9,spotify:track:6q1QIBUfxyZJhygVIiG6c9,https://api.spotify.com/v1/tracks/6q1QIBUfxyZJhygVIiG6c9,https://api.spotify.com/v1/audio-analysis/6q1QIBUfxyZJhygVIiG6c9,357634,4
64795RjPIb87Aa8clGWyc5,Romantic - LoFi Flip,Dj Vicky Belgaum,romantic,0.31923601637107774,0.41302243020816526,6,-9.556,0,0.0404,0.102,0.0247,0.111,0.01453835304328957,0.07445832015612108,audio_features,64795RjPIb87Aa8clGWyc5,spotify:track:64795RjPIb87Aa8clGWyc5,https://api.spotify.com/v1/tracks/64795RjPIb87Aa8clGWyc5,https://api.spotify.com/v1/audio-analysis/64795RjPIb87Aa8clGWyc5,219984,4
48Ix6ReYdJf2H4mKb3TIpj,Tera Hone Laga Hoon,Atif Aslam,romantic,0.675306957708049,0.7740842343069227,8,-5.33,1,0.0303,0.545,0.0,0.127,0.5421503743083435,0.38268938546624187,audio_features,48Ix6ReYdJf2H4mKb3TIpj,spotify:track:48Ix6ReYdJf2H4mKb3TIpj,https://api.spotify.com/v1/tracks/48Ix6ReYdJf2H4mKb3TIpj,https://api.spotify.com/v1/audio-analysis/48Ix6ReYdJf2H4mKb3TIpj,299827,4
5XD2tP1DRH2NJgp45HiEQA,Bol Do Na Zara,Armaan Malik,romantic,0.48294679399727153,0.47252702920768114,11,-8.259,0,0.0311,0.294,0.0,0.0871,0.155907562113486,0.45987828112586104,audio_features,5XD2tP1DRH2NJgp45HiEQA,spotify:track:5XD2tP1DRH2NJgp45HiEQA,https://api.spotify.com/v1/tracks/5XD2tP1DRH2NJgp45HiEQA,https://api.spotify.com/v1/audio-analysis/5XD2tP1DRH2NJgp45HiEQA,292827,3
4byiHL0b9mIoCUCjbjI4eA,"Gazab Ka Hai Din (From ""Dil Juunglee"")",Jubin Nautiyal,romantic,0.18281036834924963,0.4210908504114894,2,-8.636,1,0.0566,0.661,4.83e-06,0.0825,0.16458717587067379,0.7714107202085729,audio_features,4byiHL0b9mIoCUCjbjI4eA,spotify:track:4byiHL0b9mIoCUCjbjI4eA,https://api.spotify.com/v1/tracks/4byiHL0b9mIoCUCjbjI4eA,https://api.spotify.com/v1/audio-analysis/4byiHL0b9mIoCUCjbjI4eA,236325,4
1im9BMeeKze7rkBPIEpCUr,Jab Tak,Armaan Malik,romantic,0.1473396998635743,0.4473132160722931,3,-7.862,0,0.0383,0.858,0.000314,0.097,0.2926114787891939,0.3961262852602917,audio_features,1im9BMeeKze7rkBPIEpCUr,spotify:track:1im9BMeeKze7rkBPIEpCUr,https://api.spotify.com/v1/tracks/1im9BMeeKze7rkBPIEpCUr,https://api.spotify.com/v1/audio-analysis/1im9BMeeKze7rkBPIEpCUr,174039,4
32SDVo3sSMGPL0IzRA6YTX,Aaj Phir,Arijit Singh,romantic,0.5088676671214187,0.7539131837986122,6,-6.802,0,0.0427,0.1,5.86e-06,0.0982,0.3490289682109146,0.7841765463619323,audio_features,32SDVo3sSMGPL0IzRA6YTX,spotify:track:32SDVo3sSMGPL0IzRA6YTX,https://api.spotify.com/v1/tracks/32SDVo3sSMGPL0IzRA6YTX,https://api.spotify.com/v1/audio-analysis/32SDVo3sSMGPL0IzRA6YTX,261885,4
6Ol9idNgQJUgdZSNFSibzy,Romantic Rewind,Akhil,romantic,0.3151432469304229,0.6732289817653704,7,-4.829,1,0.0921,0.19,0.0,0.0916,0.5258760985136163,0.1311987534999961,audio_features,6Ol9idNgQJUgdZSNFSibzy,spotify:track:6Ol9idNgQJUgdZSNFSibzy,https://api.spotify.com/v1/tracks/6Ol9idNgQJUgdZSNFSibzy,https://api.spotify.com/v1/audio-analysis/6Ol9idNgQJUgdZSNFSibzy,1084057,4
0SCLsDJtC7DmOwks1tsszt,Romantic Homicide,d4vd,romantic,0.504774897680764,0.5360658383088591,6,-10.749,1,0.0332,0.471,0.00831,0.321,0.1776065965064555,0.4752126994901382,audio_features,0SCLsDJtC7DmOwks1tsszt,spotify:track:0SCLsDJtC7DmOwks1tsszt,https://api.spotify.com/v1/tracks/0SCLsDJtC7DmOwks1tsszt,https://api.spotify.com/v1/audio-analysis/0SCLsDJtC7DmOwks1tsszt,132631,4
2abBhEnDgtTlbwnUMHOoTE,Romantic Mashup,Miss Pooja,romantic,0.7285129604365619,0.9314184282717444,5,-3.946,0,0.0468,0.114,0.0,0.163,0.5681892155799068,0.22869726865314743,audio_features,2abBhEnDgtTlbwnUMHOoTE,spotify:track:2abBhEnDgtTlbwnUMHOoTE,https://api.spotify.com/v1/tracks/2abBhEnDgtTlbwnUMHOoTE,https://api.spotify.com/v1/audio-analysis/2abBhEnDgtTlbwnUMHOoTE,251280,4
5vGiuYFSGekGLgbxhV1rD5,Tu Jaane Na,Atif Aslam,romantic,0.6971350613915415,0.8638454090689043,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.8437669523706196,0.38315990836373737,audio_features,5vGiuYFSGekGLgbxhV1rD5,spotify:track:5vGiuYFSGekGLgbxhV1rD5,https://api.spotify.com/v1/tracks/5vGiuYFSGekGLgbxhV1rD5,https://api.spotify.com/v1/audio-analysis/5vGiuYFSGekGLgbxhV1rD5,341933,4
1uwCYPAgiy5d7lPJvf0gf8,Ijazat,Meet Bros.,romantic,0.44747612551159616,0.4634500564789415,6,-8.88,0,0.0264,0.327,0.0,0.106,0.1873711619832918,0.18972871655237855,audio_features,1uwCYPAgiy5d7lPJvf0gf8,spotify:track:1uwCYPAgiy5d7lPJvf0gf8,https://api.spotify.com/v1/tracks/1uwCYPAgiy5d7lPJvf0gf8,https://api.spotify.com/v1/audio-analysis/1uwCYPAgiy5d7lPJvf0gf8,288964,4
7H7qPPRh373hwSQG1K55Rc,Romantic Mashup(Remix By Dj Chetas),Falak Shabbir,romantic,0.5811732605729876,0.8467000161368403,8,-4.803,1,0.0595,0.166,0.0,0.0889,0.5150265813171315,0.46005569139868707,audio_features,7H7qPPRh373hwSQG1K55Rc,spotify:track:7H7qPPRh373hwSQG1K55Rc,https://api.spotify.com/v1/tracks/7H7qPPRh373hwSQG1K55Rc,https://api.spotify.com/v1/audio-analysis/7H7qPPRh373hwSQG1K55Rc,216085,4
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,Javed-Mohsin,romantic,0.43519781718963163,0.5027836049701468,7,-7.016,0,0.0325,0.71,0.0,0.0708,0.2926114787891939,0.48993775213470836,audio_features,5G7pZ8G8NFvS1MQ9H4L7dC,spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/tracks/5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/audio-analysis/5G7pZ8G8NFvS1MQ9H4L7dC,247286,4
2PE6wRG56ez4yiV9oXB0rF,Romantic Love Mashup (Best of love music),Abhishek Rawal,romantic,0.4215552523874488,0.2960303372599645,7,-16.384,0,0.04,0.781,2.78e-05,0.227,0.30997070630356954,0.7685721558433545,audio_features,2PE6wRG56ez4yiV9oXB0rF,spotify:track:2PE6wRG56ez4yiV9oXB0rF,https://api.spotify.com/v1/tracks/2PE6wRG56ez4yiV9oXB0rF,https://api.spotify.com/v1/audio-analysis/2PE6wRG56ez4yiV9oXB0rF,289123,4
60Rye3rM3e57fnZKkLlKQH,Chosen,Sidhu Moose Wala,romantic,0.5211459754433831,0.8124092302727126,7,-4.343,1,0.404,0.486,0.0,0.291,0.6560703048714334,0.05984896986339405,audio_features,60Rye3rM3e57fnZKkLlKQH,spotify:track:60Rye3rM3e57fnZKkLlKQH,https://api.spotify.com/v1/tracks/60Rye3rM3e57fnZKkLlKQH,https://api.spotify.com/v1/audio-analysis/60Rye3rM3e57fnZKkLlKQH,264020,4
5QtEFRYavs5S3GHtFEq7A4,Tujhe Kitna Chahne Lage,Arijit Singh,romantic,0.2783083219645293,0.3968855898015169,11,-7.556,1,0.0368,0.735,0.0,0.11,0.2730823478355213,0.0015426980245751842,audio_features,5QtEFRYavs5S3GHtFEq7A4,spotify:track:5QtEFRYavs5S3GHtFEq7A4,https://api.spotify.com/v1/tracks/5QtEFRYavs5S3GHtFEq7A4,https://api.spotify.com/v1/audio-analysis/5QtEFRYavs5S3GHtFEq7A4,284780,4
3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,Akhil Sachdeva,romantic,0.5648021828103682,0.5310230756817815,11,-6.346,1,0.0246,0.821,0.0,0.131,0.3750678094824781,0.1818995240776594,audio_features,3oWxFNsXstcancCR1wODR4,spotify:track:3oWxFNsXstcancCR1wODR4,https://api.spotify.com/v1/tracks/3oWxFNsXstcancCR1wODR4,https://api.spotify.com/v1/audio-analysis/3oWxFNsXstcancCR1wODR4,236437,4
3lT4SlZVvqLhMeiuBv7gHW,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]",Jubin Nautiyal,romantic,0.2278308321964529,0.25064547361626593,11,-9.51,1,0.0346,0.604,0.0,0.0915,0.2524682651622003,0.5799079009279329,audio_features,3lT4SlZVvqLhMeiuBv7gHW,spotify:track:3lT4SlZVvqLhMeiuBv7gHW,https://api.spotify.com/v1/tracks/3lT4SlZVvqLhMeiuBv7gHW,https://api.spotify.com/v1/audio-analysis/3lT4SlZVvqLhMeiuBv7gHW,276245,4
6FjbAnaPRPwiP3sciEYctO,Raabta,Pritam,romantic,0.635743519781719,0.5824592544779731,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.2947813822284909,0.36769436066737127,audio_features,6FjbAnaPRPwiP3sciEYctO,spotify:track:6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/tracks/6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/audio-analysis/6FjbAnaPRPwiP3sciEYctO,243578,4
1jxFiDfEZLpShXjLt35ogg,Jazbaat 2,Amantej Hundal,romantic,0.6398362892223737,0.7791269969340003,8,-5.163,0,0.0627,0.12,0.0,0.179,0.4510144298578714,0.11320318104332672,audio_features,1jxFiDfEZLpShXjLt35ogg,spotify:track:1jxFiDfEZLpShXjLt35ogg,https://api.spotify.com/v1/tracks/1jxFiDfEZLpShXjLt35ogg,https://api.spotify.com/v1/audio-analysis/1jxFiDfEZLpShXjLt35ogg,299545,4
79hQvdTHNBkq2fp2ZrM8b2,Pal,Javed-Mohsin,romantic,0.4542974079126875,0.49874939486848474,7,-7.023,0,0.0319,0.701,0.0,0.0706,0.2969512856677878,0.49099450028154235,audio_features,79hQvdTHNBkq2fp2ZrM8b2,spotify:track:79hQvdTHNBkq2fp2ZrM8b2,https://api.spotify.com/v1/tracks/79hQvdTHNBkq2fp2ZrM8b2,https://api.spotify.com/v1/audio-analysis/79hQvdTHNBkq2fp2ZrM8b2,247286,4
16YZbdkJtyvsjV8UKOwQBB,Romantic Sunday,"Car, the garden",romantic,0.6275579809004093,0.6631434565112151,7,-7.322,1,0.026,0.488,0.00422,0.315,0.7710751871541718,0.3675400908649137,audio_features,16YZbdkJtyvsjV8UKOwQBB,spotify:track:16YZbdkJtyvsjV8UKOwQBB,https://api.spotify.com/v1/tracks/16YZbdkJtyvsjV8UKOwQBB,https://api.spotify.com/v1/audio-analysis/16YZbdkJtyvsjV8UKOwQBB,230339,4
4gkqGoKI311ayrtcvYaFTz,"Bawara Mann (From ""Jolly Ll.B 2"")",Jubin Nautiyal,romantic,0.38881309686221005,0.45437308375020175,8,-8.334,1,0.0255,0.678,0.00175,0.313,0.3175653683411088,0.11279436606681426,audio_features,4gkqGoKI311ayrtcvYaFTz,spotify:track:4gkqGoKI311ayrtcvYaFTz,https://api.spotify.com/v1/tracks/4gkqGoKI311ayrtcvYaFTz,https://api.spotify.com/v1/audio-analysis/4gkqGoKI311ayrtcvYaFTz,216073,4
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,romantic,0.7216916780354705,0.6318783282233339,10,-5.549,1,0.0413,0.615,0.0,0.108,0.4998372572420528,0.08207924839752245,audio_features,2rOnSn2piaqLAlYjtfUBlY,spotify:track:2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,230292,4
6OGgPVxqijHJ5tQlZXkEfW,Romantic Homicide - Live Version,d4vd,romantic,0.38062755798090037,0.5027836049701468,6,-9.108,1,0.027,0.0689,0.000669,0.118,0.17435174134751003,0.4754518176839475,audio_features,6OGgPVxqijHJ5tQlZXkEfW,spotify:track:6OGgPVxqijHJ5tQlZXkEfW,https://api.spotify.com/v1/tracks/6OGgPVxqijHJ5tQlZXkEfW,https://api.spotify.com/v1/audio-analysis/6OGgPVxqijHJ5tQlZXkEfW,241818,4
6R6BpMBFQrF7n2uEOxYmss,"Kabhii Tumhhe (From ""Shershaah"")",Javed-Mohsin,romantic,0.4924965893587994,0.33536388575117,7,-7.466,0,0.0284,0.84,1.92e-06,0.12,0.3718129543235326,0.2044152017463342,audio_features,6R6BpMBFQrF7n2uEOxYmss,spotify:track:6R6BpMBFQrF7n2uEOxYmss,https://api.spotify.com/v1/tracks/6R6BpMBFQrF7n2uEOxYmss,https://api.spotify.com/v1/audio-analysis/6R6BpMBFQrF7n2uEOxYmss,230103,4
4Izua7XOcXRyWmOGWDDppr,Sab Tera,Armaan Malik,romantic,0.42837653478854015,0.6439809585283202,7,-5.864,1,0.0339,0.643,0.0,0.151,0.4076163610719323,0.6896400114159655,audio_features,4Izua7XOcXRyWmOGWDDppr,spotify:track:4Izua7XOcXRyWmOGWDDppr,https://api.spotify.com/v1/tracks/4Izua7XOcXRyWmOGWDDppr,https://api.spotify.com/v1/audio-analysis/4Izua7XOcXRyWmOGWDDppr,228117,4
5lTTuESHokJHpSsEvvSR64,Romantico Ma Muori,Pinguini Tattici Nucleari,romantic,0.660300136425648,0.6540664837824753,9,-5.853,1,0.0634,0.354,0.0,0.285,0.7862645112292505,0.08933764260314869,audio_features,5lTTuESHokJHpSsEvvSR64,spotify:track:5lTTuESHokJHpSsEvvSR64,https://api.spotify.com/v1/tracks/5lTTuESHokJHpSsEvvSR64,https://api.spotify.com/v1/audio-analysis/5lTTuESHokJHpSsEvvSR64,166331,4
2VrNpMt23IX5ZfROWM7wAi,Malai Mangum Neram,Ranina Reddy,romantic,0.65075034106412,0.5048007100209778,1,-10.225,0,0.0566,0.388,0.3,0.0761,0.5226212433546709,0.12057727760079606,audio_features,2VrNpMt23IX5ZfROWM7wAi,spotify:track:2VrNpMt23IX5ZfROWM7wAi,https://api.spotify.com/v1/tracks/2VrNpMt23IX5ZfROWM7wAi,https://api.spotify.com/v1/audio-analysis/2VrNpMt23IX5ZfROWM7wAi,313601,4
7IBSffWIu7P2MC7kMwy2FM,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,romantic,0.9358799454297406,0.4775697918347588,9,-7.379,0,0.0587,0.307,0.0,0.0929,0.5432353260279918,0.43700778291153397,audio_features,7IBSffWIu7P2MC7kMwy2FM,spotify:track:7IBSffWIu7P2MC7kMwy2FM,https://api.spotify.com/v1/tracks/7IBSffWIu7P2MC7kMwy2FM,https://api.spotify.com/v1/audio-analysis/7IBSffWIu7P2MC7kMwy2FM,226743,4
5llaVhaIoowKT3fqf2NfPO,Pehli Nazar Mein,Atif Aslam,romantic,0.4051841746248294,0.5713651766984024,9,-5.602,1,0.0775,0.251,0.0,0.107,0.669089725507215,0.7662118278657544,audio_features,5llaVhaIoowKT3fqf2NfPO,spotify:track:5llaVhaIoowKT3fqf2NfPO,https://api.spotify.com/v1/tracks/5llaVhaIoowKT3fqf2NfPO,https://api.spotify.com/v1/audio-analysis/5llaVhaIoowKT3fqf2NfPO,312893,4
6iXO4A5u0CRLNre9lSxntL,Romantic,Yusuke Honma,romantic,0.36698499317871763,0.27485073422623857,9,-17.467,0,0.0297,0.541,0.899,0.36,0.265487685797982,0.3131522720085157,audio_features,6iXO4A5u0CRLNre9lSxntL,spotify:track:6iXO4A5u0CRLNre9lSxntL,https://api.spotify.com/v1/tracks/6iXO4A5u0CRLNre9lSxntL,https://api.spotify.com/v1/audio-analysis/6iXO4A5u0CRLNre9lSxntL,183027,3
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),Taylor Swift,romantic,0.6302864938608459,0.851742778763918,5,-5.936,1,0.0583,0.00516,4.24e-06,0.0798,0.7298470218075296,0.39839405135641726,audio_features,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/tracks/2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/audio-analysis/2vPMoMDXxu9uX1igWZmXSG,230178,4
3JUmNYQyJKeRq2a3RR8K71,"Ijazat (From ""One Night Stand"")",Meet Bros.,romantic,0.44747612551159616,0.4634500564789415,6,-8.88,0,0.0264,0.327,0.0,0.106,0.1873711619832918,0.18972871655237855,audio_features,3JUmNYQyJKeRq2a3RR8K71,spotify:track:3JUmNYQyJKeRq2a3RR8K71,https://api.spotify.com/v1/tracks/3JUmNYQyJKeRq2a3RR8K71,https://api.spotify.com/v1/audio-analysis/3JUmNYQyJKeRq2a3RR8K71,288964,4
0FAkF04YFGK1DN0dATMcX2,Romantic,the chamo,romantic,0.2278308321964529,0.9102388252380184,5,-9.985,0,0.0441,0.775,0.922,0.182,0.35987848540739936,0.8611186103376194,audio_features,0FAkF04YFGK1DN0dATMcX2,spotify:track:0FAkF04YFGK1DN0dATMcX2,https://api.spotify.com/v1/tracks/0FAkF04YFGK1DN0dATMcX2,https://api.spotify.com/v1/audio-analysis/0FAkF04YFGK1DN0dATMcX2,150069,3
5HRkeHARMglmn1uKfyYvNt,Romantic Mashup 3,Raj Barman,romantic,0.7844474761255116,0.7740842343069227,7,-4.893,1,0.0549,0.259,0.0,0.157,0.7678203319952263,0.26680962335027736,audio_features,5HRkeHARMglmn1uKfyYvNt,spotify:track:5HRkeHARMglmn1uKfyYvNt,https://api.spotify.com/v1/tracks/5HRkeHARMglmn1uKfyYvNt,https://api.spotify.com/v1/audio-analysis/5HRkeHARMglmn1uKfyYvNt,441930,4
